စဉ်,"ကုမ္ပဏီအမည်
",ခွင့်ပြုမိန့်/ အတည်ပြုမိန့်အမှတ်,ရင်းနှီးမြှုပ်နှံမှု ပုံစံ,လုပ်ငန်းအမျိုးအစား, လုပ်ငန်းတည်နေရာ,"ရင်းနှီးမြှုပ်နှံမှု
စုစုပေါင်း ပမာဏ(USD in Million)",ထုတ်ကုန် အမျိုးအစား,ကုန်ကြမ်း အမျိုးအစား,ရင်းနှီးတိုး,ရင်းနှီးလျော့,"YRIC 
အစည်းအဝေး", ဝန်ထမ်း,, ဝန်ထမ်း,,"ရင်းနှီးမြှုပ်နှံမှု
သက်တမ်း",နိုင်ငံ,မှတ်ချက်,ဆက်သွယ်ရမည့်အမည်/ဖုန်းနံပါတ်,"ကုမ္ပဏီမှတ်ပုံတင်
အမှတ်",ရင်းနှီးမြှုပ်နှံမှုကဏ္ဍ,ဘဏ် ငွေစာရင်းအမှတ် နှင့် ဘဏ်အမည်,မြေဧရိယာ ,"မြေဧရိယာ 
တိုး","မြေဧရိယာ 
လျော့ချ"," အတည်ပြုမိန့်
ပြည်လည်
အပ်နှံခြင်း",လတ္တီကျူ/ လောင်ဂျီကျူ,စီးပွားဖြစ်စ,တည်ဆောက်ရေးကာလ,ရင်းနှီးမြှုပ်နှံသူ/ ကမကထအမည်ပြောင်း,"အတည်ပြုမိန့် မူရင်းနှင့်
 ဆုံးဖြတ်ချက်မူရင်း
ပြန်လည်အပ်နှံခြင်း"
၁၄၀,"Asia Link (Myanmar)  Fashion Co.,Ltd.   ( China)                      ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၇၀/၂၀၁၉ ( ၁၂.၃.၂၀၁၉),,CMP စနစ်ဖြင့်  အမျိုးသမီးဝတ် ဘရာစီယာ၊ အတွင်းခံ ဘောင်းဘီနှင့် ရေကူးဝတ်စုံ အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း,မြေကွက်အမှတ် (၈၅)၊ မြေတိုင်းရပ်ကွက်အမှတ် (၅၁)၊ သာဓုကန် စက်မှုဇုန်၊ ရွှေပြည်သာ မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး,"အမေရိကန် 
ဒေါ်လာ  
၁.၂၆၂   သန်း",,,,,,,,,,,China,,"Mr. Yang Jianwu, Director gh86196189@163.net",,,,,,,,"16.880052, 95.998760",,,,
၁၄၁,"Myanmar Ao Sheng Leather Goods  Co.,Ltd.   ( China) ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၇၁/၂၀၁၉ ( ၁၂.၃.၂၀၁၉),,CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ထုတ်လုပ်ခြင်းလုပ်ငန်း,မြေကွက်အမှတ်- B-3 ၊ မြေတိုင်း ရပ်ကွက်အမှတ် - ၂၁၊  မြစိမ်းရောင် စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန် တိုင်း ဒေသကြီး,"အမေရိကန် ဒေါ်လာ 
၀.၃၇၂  သန်း ",,,,,,၁၃၆၃,၃၀,,,၃၀,China,Covid ကြောင့်ခေတ္တရပ်ဆိုင်းထားပါသည်။,"၀၉-၅၄၀၄၁၉၆
9421016798
15915999933
13926152139
154414273@qq.com 
895706985@qq.com",,,,"၂.၃၁၂ 
(၉၃၅၆.၃၃၂ စတုရန်းမီတာ)",,,,"16.977850, 96.063820",,,,
၁၄၂,"Myanmar Golden Era Handbags  Co.,Ltd.    China)   ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၇၂/၂၀၁၉  ( ၁၂.၃.၂၀၁၉),,CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ထုတ် လုပ်ခြင်းလုပ်ငန်း ,"မြေကွက်အမှတ်(၂၅၂/၂၅၃)၊  မြေတိုင်း ရပ်ကွက်အမှတ် (၄၉/ ဝါးတစ်ရာ)၊  စက်မှု(၁)လမ်း၊ (၂၃) ရပ်ကွက်၊ ရွှေပြည် သာ မြို့နယ်၊ မှ
မြေကွက်အမှတ်(၁၈၁-၁၉၄-၁)၊  မြေတိုင်းရပ်ကွက်အမှတ်(၄၉)၊ ဝါးတစ်ရာစက်မှုဇုန်၊ ရွှေပြည်သာ မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး
သို့ပြောင်း","  ၄.၅ 
",,,,,"6/2022
29-6-2022
Address
Changes",၁၂၉၀,၃၀,,,၃၀,China,,"၀၉-၉၉၇၇၉၉၈၃၃၀
၀၉-၅၁၃၆၃၆၈
Mr. Yu Yuankai    
ဒေါ်သန်းသန်းနိုင်  
",,,,"3.00 ဧက
(12144.981 စတုရန်းမီတာ)",,,,"16.942884, 96.177817",,,,
၁၄၃,"Sujin Co.,Ltd.  (Korea)  
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၇၃/၂၀၁၉ ( ၁၂.၃.၂၀၁၉),,CMP စနစ်ဖြင့် အဝတ် အထည်များ ချုပ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ် (၂၀၄+၂၀၅)၊ မြေတိုင်း ရပ်ကွက်အမှတ်- (၁၀)၊ ရွှေပေါက်ကံ စက်မှုဇုန်၊ မြောက်ဥက္ကလာပမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး မှ
မြေကွက်အမှတ် (၂၁)၊ မြေတိုင်း ရပ်ကွက်အမှတ်- ရန်ကုန်စက်မှုဇုန်၊ မြောက်ဥက္ကလာပမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီးသို့ပြောင်းရွေ",၀.၄၃၅,,,,,"4/2022
27-4-2022
Address Changes",၂၂၅,၃,,,၁၀,Korea,,"၀၉-၂၅၃၂၆၂၆၆၁
ဒေါ်သဉ္ဇာထိုက်
9253262661",,,,"၀.၁၁၀
(၄၄၅.၁၅၄၆ စတုရန်းမီတာ)",,,,"16.902694, 96.219904",,,,
၁၄၄,"Sam Clothing  (Myanmar)  Co.,Ltd.   ( China)    
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၇၄/၂၀၁၉ ( ၁၄.၃.၂၀၁၉),,CMP စနစ်ဖြင့် အဝတ်အထည် ချုပ်လုပ်ခြင်း လုပ်ငန်း,မြေကွက်အမှတ် (၂ နှင့် ၃)၊ မြေတိုင်း ရပ်ကွက်အမှတ် (၁၁၂)၊ စက်မှုဇုန်၊ ဒဂုံမြို့သစ်အရှေ့ပိုင်းမြို့နယ်၊ ရန်ကုန် တိုင်းဒေသကြီး,၂.၃,,,1.081,,"11/2021
15-12-2021",၁၀၂၉,၁၀,၅၅၆,၃,၃၀,China,,"Mr. lLu Han (Director)
sam@samfashion.com
9957692758",,,,"၄.၃၅၆
(၁၇၆၂၈.၁၀၇ စတုရန်းမီတာ)",,,,"16.910953, 96.066575",,,,
၁၄၅,"Bo Da (Myanmar) Fashion  Co.,Ltd.  ( China)   

  ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၇၅/၂၀၁၉  ( ၁၄.၃.၂၀၁၉)  ,,CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုး ချုပ်လုပ်ခြင်းလုပ်ငန်း,မြေကွက်အမှတ် (၂၃၉)၊ မြေတိုင်း ရပ်ကွက်အမှတ်-၂၅၊ ရွှေလင်ဗန်း စက်မှုမြို့၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန် တိုင်းဒေသကြီး ,၀.၆၃၇,,,,,,,,,,၃၀,China,,"၀၉-၉၇၈၃၁၉၉၉၉
Mr. Li Dongliang (Director)",,,,,,,"YRIC (1/2022)
12-1-2022
အတည်ပြုမိန့်
ပြန်အပ်ပြီးဖြစ်ပါသည်။",,,,,
၁၄၆,"Wanxinda (Myanmar) Travel  Goods  Co.,Ltd.   ( China)    
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၇၆/၂၀၁၉ ( ၂၈.၃.၂၀၁၉),,CMP စနစ်ဖြင့် အိတ်အမျိုး မျိုး ထုတ် လုပ်ခြင်းလုပ်ငန်း,မြေကွက်အမှတ် ၁၅၇ နှင့် ၁၅၈၊ မြေ တိုင်းရပ်ကွက် အမှတ်- ၄၉၊ ဝါးတရာ စက်မှုဇုန်၊ ရွှေပြည်သာ မြို့နယ်၊ ရန်ကုန် တိုင်းဒေသကြီး,၂.၂၀၉,,,,,,,,,,၃၀,China,,၀၉-၄၂၈၂၅၆၄၆၂,,,,,,,"YRIC (3/2022)
23-3-2022
အတည်ပြုမိန့်
ပြန်အပ်ပြီးဖြစ်ပါသည်။","16.948598, 96.182513",,,,
၁၄၇,"Yancheng  Footwear  Co.,Ltd.  ( China)    
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၇၇/၂၀၁၉  ( ၂၈.၃.၂၀၁၉)    ,,CMP စနစ်ဖြင့် ရှူးဖိနပ်အမျိုးမျိုး ထုတ်လုပ်ခြင်းလုပ်ငန်း,မြေကွက်အမှတ် -၈၇၊ ရန်ကုန် စက်မှု ဇုန်၊ မင်္ဂလာဒုံမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,"အမေရိကန် ဒေါ်လာ
၃.၅၀၀ သန်း  ",,,,,,၆၁၉,၃၀,,,၁၀,China,,၀၉-၈၈၉၉၉၈၉၄,,,,"၂.၀၀၃ ဧက
(၈၁၀၅.၈၈ စတုရန်းမီတာ)",,,,"17.113100, 96.014123",,,,
၁၄၈,"Myanmar  Hongyuan  International  Garment Co.,Ltd.   ( China)                                ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၇၈/၂၀၁၉  ( ၂၈.၃.၂၀၁၉)    ,,CMP စနစ်ဖြင့်အထည်အမျိုးမျိုး ထုတ်လုပ်ခြင်းလုပ်ငန်း,ဦးပိုင်အမှတ်-၃၃/၁က+၃၃/၁ခ+ N/၄ ကွင်းအမှတ်- ၅၈၉- က၊ မရမ်းလင်းကွင်း၊ ဘန့်ဘွေး ကုန်း ကျေးရွာအုပ်စု၊ မှော်ဘီ မြို့နယ်၊ရန်ကုန်တိုင်းဒေသကြီး,"အမေရိကန် 
ဒေါ်လာ  
၁.၀၀၀ သန်း",,,,,,,,,,,China,,၀၉-၄၄၃၈၀၀၁,,,,,,,,,,,,
၁၄၉,"Blue Sky Myanmar Apparel Myanmar Co.,Ltd. (Myanmar)   
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၇၉/၂၀၁၉ ( ၂၈.၃.၂၀၁၉)      ,,CMP စနစ်ဖြင့် အထည်အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း,မြေကွက်အမှတ် (၁၂၈+၁၃၈)၊ မြေတိုင်း ရပ်ကွက်အမှတ် အပိုင်း(၅)၊ စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,"အမေရိကန် 
ဒေါ်လာ ၁.၀၀၀ သန်း (အမေရိကန် ဒေါ်လာ  ၀.၃၅၀ သန်း အပါအဝင်)",,,,,,,,,,,Myanmar,,၀၉-၄၂၀၂၀၃၂၀၇,,,,,,,,"16.976285, 96.062170",,,,
၁၅၀,"Fook Hing Paper Packaging Ltd. 
(Hong Kong) 
","အတည်ပြုမိန့်အမှတ် ရကတ- ၁၈၀/၂၀၁၉ 
( ၂၈.၃.၂၀၁၉)",,ကတ်ထူစက္ကူဗူးနှင့်  ထုပ်ပိုးပစ္စည်း  ထုတ်လုပ်၍ ပြည်တွင်း၌ ရာနှုန်းပြည့် ရောင်းချခြင်းလုပ်ငန်း ,မြေကွက်အမှတ် (၂၅၉၊ ၂၆၀၊ ၂၆၁)၊ မြေတိုင်းရပ်ကွက်အမှတ် (၄၉)၊ ဝါးတရာ စက်မှုဇုန်၊ ရန်ကုန်တိုင်းဒေသ ကြီး,"အမေရိကန် ဒေါ်လာ
၂.၇၇၇ သန်း (အမေရိ ကန်ဒေါ်လာ ၂.၂၂၂ သန်း အပါအဝင်) ",,,,,,,,,,,Hong Kong,,၀၉-၉၇၇၁၆၅၈၇၇,,,,,,,,"16.845820, 96.074729",,,,
၁၅၁,"Myanmar Guotai Huasheng Glory Fashion Co.,Ltd.  
( China) ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၈၁/၂၀၁၉  ( ၂၈.၃.၂၀၁၉),,CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုး ထုတ်လုပ်ခြင်း လုပ်ငန်း,"မြေကွက်အမှတ် (၁၇၁)၊ 
စက်မှုဇုန်(၂)၊လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး အပြင် 
မြေကွက်အမှတ် (ပီ-၃)၊ မြေတိုင်းရပ်ကွက်အမှတ်-၂၀၊
အနော်ရထာစက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊
ရန်ကုန်တိုင်းဒေသကြီး",၂.၅,,,၃.,,"3/2022
23-3-2022",,,,,,China,,"Ms. Xu Weihong, Director
Juliet@gths,cn, 
၀၉-၉၇၀၆၂၁၈၈၈",,,,,,,,"16.865899, 96.023453",,,,
၁၅၂,"Unifa Handbag Myanmar Co.,Ltd.
( China) ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၈၂/၂၀၁၉ ( ၂၈.၃.၂၀၁၉)  ,,CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ထုတ်လုပ်ခြင်းလုပ်ငန်း မှ CMP စနစ်ဖြင့် ခါးပတ်နှင့် အိတ်အမျိုးမျိုး ထုတ်လုပ်ခြင်းလုပ်ငန်းသို့ပြောင်း,မြေကွက်အမှတ်- ၆၇၊ မြေတိုင်းရပ် ကွက် အမှတ်- ၁၄၊ ရွှေသံလွင်၊လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၁.၅၇,,,,,"1/2022
12-1-2022",၇၀၀,၂၀,,,၃၀,China,,"၀၉-၄၂၁၀၁၆၇၉၈
Mr. Qian DanChu ၀၉၄၂၁၀၁၆၇၉၈",,,,"၂.၇၃၉ ဧက
(၁၁၀၈၄.၃၄ စတုရန်းမီတာ)",,,,"16.853897, 96.288623",,,,
၁၅၃,"Brightberg Enterprises (Myanmar) Co.,Ltd.   
( China) ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၈၃/၂၀၁၉( ၂၈.၃.၂၀၁၉),,CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ထုတ်လုပ် ခြင်းလုပ်ငန်း,မြေကွက်အမှတ်-၇၆၊ မြေတိုင်းရပ်ကွက် အမှတ်- စက်မှုဇုန်(၂)၊ ဒဂုံဆိပ်ကမ်း မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,၀.၆၆၆,,,,,,၆၂၉,၅,,,၁၀,China,,"၀၉-၄၅၀၀၂၈၃၇
Ms. Chen Qiuyun",,,,"၀.၆၈၈ ဧက
(၂၇၈၇ စတုရန်းမီတာ)",,,,"16.898467, 96.221033",,,,
၁၅၄,"New Plus Company Co.,Ltd.   
( China) ","အတည်ပြုမိန့်အမှတ် ရကတ- ၁၈၄/၂၀၁၉
( ၂၈.၃.၂၀၁၉)",,CMP စနစ်ဖြင့် အဝတ်အထည် ချုပ်လုပ်ခြင်း လုပ်ငန်း,မြေကွက်အမှတ် (၈၁+၈၂)၊ အနက်မှ မြေကွက်အမှတ် (၈၂)၊ မြေတိုင်းရပ် ကွက်အမှတ် (၅၁)၊ သာဓုကန်စက်မှုဇုန်၊ ရွှေပြည်သာ မြို့နယ်၊ ရန်ကုန်တိုင်း ,"အမေရိကန် 
ဒေါ်လာ  
၂.၈၃၉ သန်း",,,,,,၁၂၀၀,၃၀,,,၂၈,China,,"Mr. jin Ye (Director)
jinye@xinlingroup.com
 ၀၉၉၆၁၈၅၈၈၈၈ ",,,,"၂.၄၀၀၅ဧက
(၉၇၁၄.၄၇၉ စတုရန်းမီတာ)",,,,"16.851694, 96.292409",,,,
၁၅၅,"Rainwear House  (Myanmar)  Manufactory Co.,Ltd.  (Hongkong)      ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၈၅/၂၀၁၉  ( ၂၈.၃.၂၀၁၉),,CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုး ချုပ်လုပ်ခြင်း လုပ်ငန်း,မြေကွက်အမှတ် (၁၂၀)၊ မြေတိုင်းရပ် ကွက် စက်မှုဇုန်(၂)၊ ဒဂုံဆိပ်ကမ်းမြို့ နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး,"အမေရိကန် ဒေါ်လာ
၀.၈၉၆ သန်း  ",,,,,,၅၀၃,၁၅,,,၃၀,,,,,,,"၂.၇၆၂ ဧက
(၁၁၁၇၇.၄၁၇ စတုရန်းမီတာ)",,,,"16.845621, 96.298874",,,,
၁၅၆,"Dong Chen Handbag (Myanmar) Ltd. (Chinese)
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၈၆/၂၀၁၉ ( ၁၉.၄.၂၀၁၉ ),,"CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ထုတ်လုပ်ခြင်းလုပ်ငန်း
CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး နှင့် တစ်ပိုင်းတစ်စအိတ်အမျိုးမျိုး ထုတ်လုပ်ခြင်း  လုပ်ငန်း",မြေကွက်အမှတ် (၈၀၊ ၈၁)၊ မြေတိုင်း ရပ်ကွက်အမှတ် -စက်မှုဇုန်(၂)၊ ဒဂုံဆိပ်ကမ်း မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး,"အမေရိကန် ဒေါ်လာ
၀.၆၉၁ သန်း  ",,,,,"YRIC 1-2023
25-1-2023  လုပ်ငန်းအမျိုးအစားတိုး",၂၀၀,၈,,,၂၀,China,,"၀၉-၈၉၀၁၈၉၄၈၅
Mr. Wang Guandong
han@dong.chen.com, 
09890189485, 09890189496,
0962998890",,,,"၁.၀၀ ဧက
(၄၀၄၆.၈၆ စတုရန်းမီတာ)",,,,"17.129080, 96.022428",12/9/2019,၁နှစ်,,
၁၅၇,"Hyatt Knitwear Co., Ltd. (Thailand) ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၈၇/၂၀၁၉ ( ၁၉.၄.၂၀၁၉ ),,CMP စနစ်ဖြင့်အဝတ် အထည်နှင့် စက်ထိုးအဝတ် အစားများ ထုတ်လုပ်ခြင်း လုပ်ငန်း ,မြေကွက်အမှတ်(၁၀၅)၊ စက်မှုဇုန် အပိုင်း(၅)၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး,"အမေရိကန် 
ဒေါ်လာ  
၀.၉၀၀ သန်း",,,?,,"1/2020
22-1-2020",၁၄၅,၅,,,၅၀,Thaland,,,,,,"၀.၉၂၀ ဧက
(၃၇၂၃.၁၀၈ စတုရန်းမီတာ)",,,,"
16.852350, 96.291671
16.839854, 96.280428",,,,
၁၅၈,"Mayfair (Myanmar) Industry  Co., Ltd (Chinese)
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၈၉/၂၀၁၉ ( ၁၉.၄.၂၀၁၉ ),,CMP စနစ်ဖြင့် လက်အိတ်၊ ခြေအိတ် နှင့် အိမ်တွင်းစီး ဖိနပ်အမျိုးမျိုး ထုတ်လုပ်ခြင်း လုပ်ငန်း,မြေကွက်အမှတ်-၁၁၉၊ မြေတိုင်းရပ်ကွက်အမှတ်- စက်မှုဇုန် ၂၊ ဒဂုံမြို့သစ် ဆိပ်ကမ်းမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,"အမေရိကန် ဒေါ်လာ 
၁.၅၀၀ သန်း ",,,,0.768**,"3/2022
23-3-2022",၁၈၆,၁၈,"500
၂၁/၂၀၁၉",,၃၆,China,,"Mr. Zhuang JunYu  
Mr. Ding  Liu  Ling      
ဒေါ်သင်းသင်းမာ (Manager) 09767648090",,,,"၃.၀၂၃ဧက အနက်မှ ၂.၆၁၉
ဧက(၁၀၅၉၈.၇၁၇ စတုရန်းမီတာ)",,?,,"16.867375, 96.040631",,,,
၁၅၉,"Sanyuan Oversea (Myanmar) Apparel Manufacturing  Co., Ltd (Chinese)
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၉၀/၂၀၁၉ ( ၁၉.၄.၂၀၁၉ ),,CMP စနစ်ဖြင့် အဝတ်အထည် အမျိုးမျိုးချုပ်လုပ်ခြင်း လုပ်ငန်း,မြေကွက်အမှတ်-(၁၅၊ ၁၆)၊ မြေတိုင်း ရပ်ကွက်အမှတ်- ၁၀၉၊  စက်မှု၊ ဒဂုံမြို့သစ် အရှေ့ပိုင်းမြို့နယ်၊ ရန်ကုန် တိုင်းဒေသကြီး,၁.၄၃၅,,,0.015,,"8/2021
8-9-2021
10/2022
26-10-2022
ရှယ်ယာပြောင်း၊
ပုံစံပြောင်း",၁၀၀၁,၂၀,,,၃၀,China,J.V မှ ရာခိုင်နှုန်းပြည့် နိုင်ငံခြားရင်းနှီးမြှုပ်နှံမှုသို့ ပြင်ဆင်ပြီး YRIC 10-2022 ,"Mr. Sun Ge
09793333981",,,,"၄.၁၄၆ ဧက 
(၁၆၇၇၈.၂၆၇ စတုရန်းမီတာ)",,,,,,,,
၁၆၀,"United Smooth and Harmony  Co., Ltd (Chinese)
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၉၁/၂၀၁၉ ( ၁၉.၄.၂၀၁၉ ),,ပြည်တွင်းရှိ ကော်ဖက် ကုန်ကြမ်း အသုံးပြုလျက် ကော်စေ့ ထုတ်လုပ်ပြီး ပြည်တွင်းနှင့် ပြည်ပ တင်ပို့ရောင်းချ ခြင်း လုပ်ငန်း,မြေကွက်အမှတ်(၃၆)၊မြေတိုင်းရပ်ကွက် အမှတ် -၁၁၃၊ စက်မှု ဇုန်၊ ဒဂုံမြို့သစ်(အရှေ့ပိုင်း) မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး ,"အမေရိကန်
ဒေါ်လာ
၁.၄၈၂ သန်း
(အမေရိကန်ဒေါ်လာ
၀.၇၄၁ သန်း အပါအဝင်)",,,,,,၁၂၁,၅,,,၂၀,China,,"ဒေါ်မြင့်မြင့်ဝေ
9775102960   09970225056
",,,,"၂.၃၃၆ ဧက 
(၉၄၅၃.၄၆၅ စတုရန်းမီတာ)",,,,"17.075108, 96.046898",,,,
၁၆၁,"Rainbowtex (Myanmar) Garments  Co., Ltd (Chinese)
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၉၃/၂၀၁၉ ( ၂၃.၅.၂၀၁၉ ),,CMP စနစ်ဖြင့် အဝတ်အထည် ချုပ်လုပ်ခြင်း လုပ်ငန်း,စုစုပေါင်းမြေကွက်အမှတ် (၆၃၊၆၄၊၇၅) အနက်မှ မြေကွက် အမှတ်-၇၅၊ မြေတိုင်း ရပ်ကွက်အမှတ်- ၄၉၊ ဝါးတစ်ရာ စက်မှု ဇုန်၊  ရွှေပြည်သာ မြို့နယ်၊ ရန်ကုန်တိုင်းဒေသကြီး,အမေရိကန် ဒေါ်လာ  ၀.၅၉၉ သန်း,,,,,,၆၀၀,၁၅,,,၃၀,China,,"Mr. XieZuYi  ရွှေပြည့်အိမ်
၀၉-၄၂၁၀၁၆၇၉၈
09401694020",,,,"၃.၀၀ ဧက 
(၁၂၁၄၀.၆ စတုရန်းမီတာ)",,,,,,,,
၁၆၂,"PNA Myanmar  Co., Ltd (Korean)
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၉၅/၂၀၁၉ ( ၁၂.၆.၂၀၁၉ ),,CMP စနစ်ဖြင့်အထည်ချုပ် လုပ်ခြင်းလုပ်ငန်း,မြေကွက်အမှတ်(၃၃၂)၊ မြေတိုင်းရပ် ကွက်အမှတ်(၂၅)၊ ရွှေလင်ပန်း စက်မှု မြို့၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန် တိုင်းဒေသကြီး,အမေရိကန် ဒေါ်လာ ၁.၀၄ ၉ သန်း,,,,,,၆၉၄,၅,,,၃၀,Korea,,"Mr. Park Choong Yeol
cyprk@pn-korea.com
09267524038 ဆက်သွယ်၍မရ  MyCo တွင် ဖုန်းနံပါတ် မရှိပါ",,,,"၁.၅၉၇ ဧက 
(၆၄၆၃.၆၃၆ စတုရန်းမီတာ)",,,,"16.917472, 96.063250",,,,
၁၆၃," Eslite Garment Factory(2)  Ltd.(Taiwan)
",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၉၆/၂၀၁၉ ( ၁၂.၆.၂၀၁၉ ),,CMP စနစ်ဖြင့် အဝတ် အထည်များ ချုပ်လုပ်ခြင်း လုပ်ငန်း ,မြေကွက်အမှတ်(၁၆၉)၊ မြေတိုင်းရပ် ကွက်အမှတ် (၂၅၊ရွှေလင်ပန်းစက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,အမေရိကန် ဒေါ်လာ ၃.၇၀၀ သန်း,,,,,,၁၀၃၇,၁၀,,,၁၀,Taiwan,,"Mrs. Lin, Chiu-Chun
09253611226            886-2-87974688",,,,"၂.၀၀၂ ဧက 
(၈၁၀၁.၈ စတုရန်းမီတာ)",,,,"16.855418, 96.052553",,,,
၁၆၄," Hong Sheng (Myanmar) Industrial Co.,Ltd  (Chinese)  
                ",အတည်ပြုမိန့်အမှတ် ရကတ- ၁၉၈/၂၀၁၉ ( ၁၂.၆.၂၀၁၉ )    ,,CMP စနစ်ဖြင့် အိတ်အမျိုးမျိုး ထုတ် လုပ်ခြင်း လုပ်ငန်း,မြေကွက်အမှတ် ၁၆၊ မြေတိုင်း ရပ်ကွက်အမှတ် (ဇုန်-၄)၊  စက်မှုဇုန်၊ လှိုင်သာယာမြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသကြီး,အမေရိကန် ဒေါ်လာ   ၀.၆၈၈  သန်း,,,,,,၈၀၀,၁၅,,,၁၀,China,,Mr.Lin Busheng 09788802888Mr.Lin Busheng ,,,,"၃.၁၈၂ ဧက 
(၁၂၈၇၇.၀၉၇ စတုရန်းမီတာ)",,,,,,,,
၁၆၅,"Fuyun Myanmar Co.,Ltd  (Taiwan)                     
      ","အတည်ပြုမိန့်အမှတ် ရကတ- ၁၉၉/၂၀၁၉
( ၁၂.၆.၂၀၁၉ )",,CMP စနစ်ဖြင့်  အီလက်ထရော နစ် စနစ်ဖြင့်ပြုလုပ်ထားသော လက်ဆောင် ၊ အလှဆင်ပစ္စည်း များနှင့် ဆက်စပ်သော ပစ္စည်းများ ထုတ်လုပ်ခြင်း လုပ်ငန်း,မြေကွက်အမှတ်- ၄၆၇(ခ)၊  မြေတိုင်း ရပ်ကွက်အမှတ်- ၂၅ ၊ ရွှေလင်ပန်း စက်မှုမြို့၊ လှိုင်သာယာ မြို့နယ်၊ ရန်ကုန်တိုင်း ဒေသ ကြီး,အမေရိကန် ဒေါ်လာ  ၀.၅၀၀ သန်း,,,,,,,,,,၂၅,Taiwan,,ဦးမြင့်ဟန် 09779937057 Mr.Chen Suhua +867568581618 ,,,,,,,,"16°54'14.6""N 96°03'48.8""E",,,,
